id,nombre,celdas,factor_k,placas,volts,ah,vida_util,regeneracion_preventiva,regeneracion_correctiva
1,Baterua tipo A,18,125,13,36,750,5,2.5,4.5
2,b,19,126,14,37,751,6,3.5,5.5
3,c,20,127,15,38,752,7,4.5,6.5
4,b,21,128,16,39,753,8,5.5,7.5
5,c,22,129,17,40,754,9,6.5,8.5
6,b,23,130,18,41,755,10,7.5,9.5
7,c,24,131,19,42,756,11,8.5,10.5
8,b,25,132,20,43,757,12,9.5,11.5
9,c,26,133,21,44,758,13,10.5,12.5
10,b,27,134,22,45,759,14,11.5,13.5
11,c,28,135,23,46,760,15,12.5,14.5
12,b,29,136,24,47,761,16,13.5,15.5
13,c,30,137,25,48,762,17,14.5,16.5
14,b,31,138,26,49,763,18,15.5,17.5
15,c,32,139,27,50,764,19,16.5,18.5
16,b,33,140,28,51,765,20,17.5,19.5
17,c,34,141,29,52,766,21,18.5,20.5
18,b,35,142,30,53,767,22,19.5,21.5
19,c,36,143,31,54,768,23,20.5,22.5
20,b,37,144,32,55,769,24,21.5,23.5
21,c,38,145,33,56,770,25,22.5,24.5
22,b,39,146,34,57,771,26,23.5,25.5
23,c,40,147,35,58,772,27,24.5,26.5
24,b,41,148,36,59,773,28,25.5,27.5
25,c,42,149,37,60,774,29,26.5,28.5
26,b,43,150,38,61,775,30,27.5,29.5
27,c,44,151,39,62,776,31,28.5,30.5
28,b,45,152,40,63,777,32,29.5,31.5
29,c,46,153,41,64,778,33,30.5,32.5
30,b,47,154,42,65,779,34,31.5,33.5
