id,nombre,modelo,tipo
1,aaaaa,Modelo1,Tipo1
2,MTC2,Modelo2,Tipo2
3,MTC3,Modelo3,Tipo3
4,MTC4,Modelo4,Tipo4
5,MTC5,Modelo5,Tipo5
6,MTC6,Modelo6,Tipo6
7,MTC7,Modelo7,Tipo7
8,MTC8,Modelo8,Tipo8
9,MTC9,Modelo9,Tipo9
10,MTC10,Modelo10,Tipo10
11,MTC11,Modelo11,Tipo11
12,MTC12,Modelo12,Tipo12
13,MTC13,Modelo13,Tipo13
14,MTC14,Modelo14,Tipo14
15,MTC15,Modelo15,Tipo15
16,MTC16,Modelo16,Tipo16
17,MTC17,Modelo17,Tipo17
18,MTC18,Modelo18,Tipo18
19,MTC19,Modelo19,Tipo19
20,MTC20,Modelo20,Tipo20
21,MTC21,Modelo21,Tipo21
22,MTC22,Modelo22,Tipo22
23,MTC23,Modelo23,Tipo23
24,MTC24,Modelo24,Tipo24
25,MTC25,Modelo25,Tipo25
26,MTC26,Modelo26,Tipo26
27,MTC27,Modelo27,Tipo27
28,MTC28,Modelo28,Tipo28
29,MTC29,Modelo29,Tipo29
30,MTC30,Modelo30,Tipo30
31,MTC31,Modelo31,Tipo31
32,MTC32,Modelo32,Tipo32
33,MTC33,Modelo33,Tipo33
34,MTC34,Modelo34,Tipo34
35,MTC35,Modelo35,Tipo35
36,MTC36,Modelo36,Tipo36
37,MTC37,Modelo37,Tipo37
38,MTC38,Modelo38,Tipo38
39,MTC39,Modelo39,Tipo39
40,MTC40,Modelo40,Tipo40
41,MTC41,Modelo41,Tipo41
42,MTC42,Modelo42,Tipo42
43,MTC43,Modelo43,Tipo43
44,MTC44,Modelo44,Tipo44
45,MTC45,Modelo45,Tipo45
46,MTC46,Modelo46,Tipo46
47,MTC47,Modelo47,Tipo47
48,MTC48,Modelo48,Tipo48
49,MTC49,Modelo49,Tipo49
50,MTC50,Modelo50,Tipo50
62,MTC51,Modelo51,Tipo51
